"","county","black","white","hispanic","asian","unknown"
"1","Acadia",2,2,0,0,2
"2","Allen",1,0,0,0,0
"3","Assumption",0,1,0,0,0
"4","Avoyelles",1,1,0,0,0
"5","Beauregard",1,1,2,0,0
"6","Bossier",1,5,0,0,1
"7","Caddo",13,7,0,0,1
"8","Calcasieu",6,1,0,1,0
"9","Claiborne",1,0,0,0,0
"10","East Baton Rouge",20,1,1,0,1
"11","East Feliciana",2,0,0,0,1
"12","Evangeline",0,1,0,0,0
"13","Franklin",1,1,0,0,0
"14","Iberia",1,2,0,1,0
"15","Iberville",0,2,0,0,0
"16","Jackson",0,0,0,0,1
"17","Jefferson",16,6,2,0,3
"18","Lafayette",6,2,1,0,0
"19","Lafourche",0,1,1,0,0
"20","Lincoln",1,1,0,0,1
"21","Livingston",1,4,0,0,1
"22","Madison",1,0,0,0,0
"23","Morehouse",1,0,0,0,1
"24","Natchitoches",0,2,0,0,0
"25","Orleans",13,2,0,0,0
"26","Ouachita",7,1,0,0,0
"27","Pointe Coupee",1,0,0,0,0
"28","Rapides",4,3,0,0,2
"29","Red River",1,1,0,0,1
"30","Sabine",1,0,0,0,0
"31","St. Bernard",1,0,0,0,0
"32","St. Helena",1,0,0,0,0
"33","St. James",0,0,0,0,1
"34","St. John The Baptist",2,0,0,0,0
"35","St. Landry",1,0,0,0,0
"36","St. Martin",2,1,0,0,0
"37","St. Mary",0,2,0,0,0
"38","St. Tammany",0,8,0,0,0
"39","Tangipahoa",1,4,0,0,0
"40","Tensas",0,0,0,1,0
"41","Terrebonne",3,4,3,0,0
"42","Union",0,1,0,0,0
"43","Vermilion",1,0,0,0,0
"44","Vernon",1,1,0,0,0
"45","Washington",1,1,0,0,1
"46","Webster",0,1,0,0,0
"47","West Baton Rouge",3,1,1,0,0
"48","Winn",1,2,0,0,0
