"","departments","count"
"1","St. Tammany Sheriff's Office",8
"2","Louisiana State Police",6
"3","Jefferson Sheriff's Office",4
"4","Terrebonne Sheriff's Office",4
"5","Bossier City Police Department",3
"6","Caddo Sheriff's Office",3
"7","Livingston Sheriff's Office",3
"8","Shreveport Police Department",3
"9","Tangipahoa Sheriff's Office",3
"10","Iberia Sheriff's Office",2
"11","Iberville Sheriff's Office",2
"12","New Orleans Police Department",2
"13","Slidell Police Department",2
"14","St. Mary Sheriff's Office",2
"15","Winn Sheriff's Office",2
"16","Acadia Parish Sheriff's Office",1
"17","Addis Police Department",1
"18","Assumption Parish Police Department",1
"19","Ball Police Department",1
"20","Beauregard Sheriff's Office",1
"21","Berwick Police Department",1
"22","Bossier Sheriff's Office",1
"23","Calcasieu Sheriff's Office",1
"24","Carencro Police Department",1
"25","Centenary College Department of Public Safety",1
"26","Crowley Police Department",1
"27","De Soto Sheriff's Office",1
"28","DeRidder Police Department",1
"29","Denham Springs Police Department",1
"30","Doyline Police Department",1
"31","East Baton Rouge Sheriff's Office",1
"32","Franklin Sheriff's Office",1
"33","Gretna Police Department",1
"34","Houma Police Department",1
"35","Lafayette Police Department",1
"36","Lafayette Sheriff's Office",1
"37","Lincoln Sheriff's Office",1
"38","Marksville Police Department",1
"39","Marksville Ward 2 City Marshal",1
"40","Natchitoches Police Department",1
"41","Natchitoches Sheriff's Office",1
"42","Pineville Police Department",1
"43","Rapides Sheriff's Office",1
"44","Red River Sheriff's Office",1
"45","Scott Police Department",1
"46","St. Martin Sheriff's Office",1
"47","U.S. Federal Bureau of Investigation",1
"48","Union Sheriff's Office",1
"49","Vernon Sheriff's Office",1
"50","Washington Sheriff's Office",1
"51","Webster Sheriff's Office",1
"52","West Monroe Police Department",1
"53","Westwego Police Department",1
