"","county","value"
"1","Acadia",6
"2","Allen",1
"3","Assumption",1
"4","Avoyelles",2
"5","Beauregard",4
"6","Bossier",7
"7","Caddo",21
"8","Calcasieu",8
"9","Claiborne",1
"10","East Baton Rouge",23
"11","East Feliciana",3
"12","Evangeline",1
"13","Franklin",2
"14","Iberia",4
"15","Iberville",2
"16","Jackson",1
"17","Jefferson",27
"18","Lafayette",9
"19","Lafourche",2
"20","Lincoln",3
"21","Livingston",6
"22","Madison",1
"23","Morehouse",2
"24","Natchitoches",2
"25","Orleans",15
"26","Ouachita",8
"27","Pointe Coupee",1
"28","Rapides",9
"29","Red River",3
"30","Sabine",1
"31","St. Bernard",1
"32","St. Helena",1
"33","St. James",1
"34","St. John The Baptist",2
"35","St. Landry",1
"36","St. Martin",3
"37","St. Mary",2
"38","St. Tammany",8
"39","Tangipahoa",5
"40","Tensas",1
"41","Terrebonne",10
"42","Union",1
"43","Vermilion",1
"44","Vernon",2
"45","Washington",3
"46","Webster",1
"47","West Baton Rouge",5
"48","Winn",3
